Job Title,Skills,Experience,Company Name,Location,Link,Job Role,Job Industry,Job Description
Walkin interview in chennai for BO Engineer in an MNC company,"[' Firewall', ' Fortigate', ' Fortinet', ' Arbor', ' Load Balancer']",5 - 10 years,Quess Corp Limited,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-walkin-interview-in-chennai-for-bo-engineer-in-an-mnc-company-quess-corp-limited-bengaluru-bangalore-5-10-years-23273704.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,India   IndustryTelecom FunctionTelecom/ ISP Role,Details:Venue Details: Shall be available on successful application.City: ChennaiDate: 19/01/2019 To 19/01/2019Timings: 9:30 AM to 6:30,"['Profile : IP Security Engineer.experience : 5 to 10 Years.Skill & Knowledge:', '\tOperation', 'maintenance, troubleshooting & configuration of Arbor / Fortigate / Fortinet and F5 products', '\tGood understanding of MPLS Network design principles and performance monitoring', '\tGood understanding of BGP Network design principles', '\tDeep knowledge in IP protocols and applications (Including switching routing, multicast, Voice, Video and data)', '\tKnowledge of various processes used in Network Operations will be added advantage.', '\tAdvanced understanding of IP Security, MPLS, VPN technologies used in Telecom network is a must.', ""\tDeep knowledge in IP protocols and applications.Work Location : Bangalore.Drop your CV's at [HIDDEN TEXT]""]"
Software Engineer -Java Fullstack,"[' Java', ' J2EE', ' Spring', ' Hibernate', ' anguler2 or above', ' Web Service', ' Soap']",3 - 10 years,Black & White Business Solutions,"Bengaluru / Bangalore,  Hyderabad / Secunderabad",https://www.monsterindia.com/job-vacancy-software-engineer-java-fullstack-black-white-business-solutions-bengaluru-bangalore-hyderabad-secunderabad-3-10-years-23273702.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,India   IndustryIT/ Computers - Software FunctionIT Role,,"['Should have experience with java and angular 2 or aboveInterview location:HyderabadWork location : Bangalore,Chennai,NoidaInterview date : 19', '01', '2019,SaturdayInterviews will happen in Hyderabad and the work location will be Bangalore,chennai and noida']"
Job Opening for Hitachi & EMC Storage,"[' Hitachi Storage', ' EMC']",6 - 11 years,Black & White Business Solutions,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-job-opening-for-hitachi-emc-storage-black-white-business-solutions-bengaluru-bangalore-6-11-years-23273689.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Software Engineer/ Programmer ,IT/ Computers - Software ,"['Dear Candidate,Greetings!!I am Mailing you regarding job opening for Hitachi & EMC storage with CGI India\xa0Years of Experience', ' 6', '10 YearsSkills', ' Experience in\xa0Storage Senior Systems Engineer with 8', '10 Years of experience on Hitachi & EMC Vmax storages. Working knowledge in Hitachi VSP; G Series; HDP/HDT; Virtualization; Replication tools; HUR; True copy; Shadow Image; GAD functions; Able handle Performance issues. Working experience in Cisco/Brocade fabric & EMC Vmax storages VMAX 20K/40K; SRDF/TimeFinder; ORSExperienced in Managing Technology Solutions ', ' Migration and storage solution implementation. ', ' Project Transition and collecting requirements from customer and presenting POC to customer', ' Identify Service Improvement Area and Implement in Production infrastructure ', ' Prepare plan for Implementing and configuring Data Replication technologies', ' Prepare plan for Disaster Recovery Testing and perform DR for large environment', ' Prepare plan for Data Center consolidation ÃƒÂ¢?Ã‚Â¢ Well versed with traditional and virtualized storage systems based on the following platforms (Minimum two storage vendors):', ' HDS (VSP; USP; G1000) & Replication technologies Excellent understanding of Virtualization (Storage/Compute)Excellent understanding of Storage Fabric management Identify and address architectural challenges.  experience requiredJob Location', ' BangalorePlease mail me your update resume with below detailsCurrent CTCExpected CTCNotice Period', 'Availability to attend F2F interview on Jan 19, Saturday Only apply\xa0ThanksRashmi']"
Email Support / Web Chart Process / Back end Process / Non Voice / Call Center / BPO / Semi Voice,"[' Nonvoice', ' BPO', ' Backend', ' Processing', ' Voice', ' Backoffice', ' Data entry', ' Callcentre', ' Contact Centre', ' Customercare', ' Night Shift', ' International BPO', ' CCO', ' Call Centre', ' CCA', ' Outbound', ' Associate', ' CSR', ' CSE', ' CSA', ' CSO', ' Customer support', ' CRE', ' Semi Voice Process', ' Web Chat', ' Email', ' Chat', ' Web']",0 - 5 years,Inspiration Manpower Consultancy Private Limited,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-email-support-web-chart-process-back-end-process-non-voice-call-center-bpo-semi-voice-inspiration-manpower-consultancy-private-limited-bengaluru-bangalore-0-5-years-23273686.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,India   Industry • Banking/ Financial Services •  Insurance •  ITES/BPO •  IT/ Computers - Hardware •  IT/ Computers - Software •  KPO/Analytics •  Recruitment/Staffing/RPO •  Telecom •  Consultancy •  Medical Transcription •  NGO/Social Services •  Social Media •  Travel/ Tourism •  Any Function • Customer Service/ Call Centre/ BPO • Telecom/ ISP Role,,"['Greetings of the Day!!!!!! We have Immediate Opening with one of our Top MNC Company for Non Voice ProcessJob Description Excellent job opportunity for Candidates with Non voice experience for Web Chat process, Email support, Backed Etc., Any candidates with good written skills can apply. Process: Non voice / Chat process Qualification Required: Graduate or Post GraduatesShifts: Rotational and Flexible in Night ShiftWork Location: White field Salary: Best in industry Notice Period: Immediate Joiner and should have all the relevant documents Contact Point: Raksha ', ' 7624847555 / 7624840555']"
Manager Varistor Education,"[' B2C Sales', ' Educational Sales', '  Marketing', '  Revenue Generation', '  Negotiation Skills', '  Price Negotiation', '  Education Industry', '  Interpersonal Skills', '  Problem Solving']",0 - 0 years,Varistor Technologies Private limited,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-manager-varistor-education-varistor-technologies-private-limited-bengaluru-bangalore-0-0-years-23273674.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,India   IndustryEducation FunctionSales/ Business Development Role,,"['', ' End to end job which includes\xa0 \xa0a.\xa0 Explaining the course structure to its potential customers\xa0\xa0 \xa0b.\xa0 Multiple follow up.\xa0 \xa0c. Customers Registration\xa0 \xa0d. Sessions Scheduling\xa0 \xa0e. Trainers slot scheduling.\xa0 \xa0Also Includes:', ' Assists customers in choosing the course', ' Advise student/ parents in their learning needs through sessions (on call/ physical meeting)', ' Fix appointments and conduct demo sessions on a requirement basis including follow up sessions', ' Generate revenue by counselling prospects and converting them to sales.', ' Understand Customer profile & problems to explain the implication of ineffective learning methods', ' Create the need for Learning and advise student', 'parent to join workshop/courses as a solution', ' Handle Objections and Price Negotiation to generate Sales Revenue', "" Learn/ Upgrade one's own Product Knowledge and Sales Skills to achieve and exceed growing Sales target(s)""]"
Java Lead Developer,"[' java', ' Web Services', ' AWS', ' AZURE']",6 - 11 years,Black & White Business Solutions,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-java-lead-developer-black-white-business-solutions-bengaluru-bangalore-6-11-years-23273669.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Software Engineer/ Programmer ,IT/ Computers - Software ,"['Dear Candidate,Greetings!!I am Mailing you regarding job opening for Java Lead\xa0 Developer with Siemens TechnologyYears of Experience', ' 6', '12 YearsSkills', ' Experience in Java, Web services, with AWS/Azure experience requiredJob Location', ' BangalorePlease mail me your update resume with below detailsCurrent CTCExpected CTCNotice Period', 'Availability to attend F2F interview on Jan 19, Saturday Only apply\xa0ThanksRashmi Phutane']"
Hiring for International Voice support with sal upto 26k+unlimited Inc.Call 9620270044,"[' bpo', '  voice process', '  inbound', '  outbound', '  customer service', '  customer support', ' us shift', ' night shift', '  24/7', '  solid system global', '  intelenet', '  antuit', '  azuga', '  lead generation', '  wooplr', '  bss', '  virgin media', '  upselling', '  sales process', '  us calling', '  mphasis', '  concentrix']",1 - 4 years,Gettjobs Recruitment Firm,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-hiring-for-international-voice-support-with-sal-upto-26k-unlimited-inc-call-9620270044-gettjobs-recruitment-firm-bengaluru-bangalore-1-4-years-23273666.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=, • Customer Service Executive (Voice) • Technical Support Executive ( voice) ,ITES/BPO FunctionCustomer Service/ Call C,"['Greetings from Gett jobs!Excellent Hiring for Voice support with sal upto 26k+incentives upto 80k.Job Responsibilities:• Receive inbound calls from customers to interact with them and identify their needs• Ensure daily shift call quotas and set targets are achieved• Follow set communication guidelines in addressing the needs of customers• Sell our products to customers• Place outbound calls to customers to sell our products• Take payment information and other pertinent information such as addresses and phone numbers• Processing and implementation of orders.• Answer questions about warranties or terms of saleCore Competencies\xa0Grads or Undergrads with 1 year international voice process exp.Excellent spoken and written communication in English.Exp in sales process is added advantageUS shifts.sal 18k ', ' 26k based on exp with unlimited incentives5 working days with 2 days Rotational OffFree Food2 way cab will be provided\xa0Looking for immediate joinersCall sapna on 962027044 for any detailsOR mail your resume at [HIDDEN TEXT]']"
Linux Device Driver Development,"[' ""Linux Device Driver""', ' ""Device Driver""', ' ARM', ' RTOS ', ' Linux Kernel', ' Microcontroller', ' Kernel Programming', ' Linux Internals ', ' System programming']",3 - 9 years,Black & White Business Solutions,"Bengaluru / Bangalore,  Noida",https://www.monsterindia.com/job-vacancy-linux-device-driver-development-black-white-business-solutions-bengaluru-bangalore-noida-3-9-years-23273642.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Software Engineer/ Programmer Education,IT/ Computers - Software ,"['Job Description· UART and SPI, I2C, Embedded C, RTOS, Device Drivers, Communication Protocols, Microcontroller, Device Driver Development, 8 Bit, 32 Bit Microcontrollers, RTOS Concepts, Adc, PIC, ARM Processor, Healthcare, Medical Devices, Automotive, Timers, CAN protocol, 16 Bit, C· Good understanding and hands', 'on in Advanced C, Linux Device Drivers· Good Debugging skills in User Space and Kernel Space· Excellent C programming ', ' For example Topics: Pointers in depth, Bit operations and unions, etc.,· Hands on with Data Structures (link list, sorting, searching, trees etc.)· Device driver development, Kernel Programming in Linux· File system development in Linux, deep understanding and experience in Linux system programming using system calls, threads, IPC like message queues, shared memory, signals etc.?· Linux Internals / System programming (IPC Mechanism, Locking etc.)· Bootloader (Uboot /Redboot)· Deep understanding of Device Driver and experience""']"
SFDC Technical Lead,"[' SFDC Developer""', ' ""Salesforce Development""', ' APEX', ' salesforce.com']",2 - 10 years,Acs Global Tech Solutions Private Limited,"Bengaluru / Bangalore,  Hyderabad / Secunderabad",https://www.monsterindia.com/job-vacancy-sfdc-technical-lead-acs-global-tech-solutions-private-limited-bengaluru-bangalore-hyderabad-secunderabad-2-10-years-23273631.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Software Engineer/ Programmer ,IT/ Computers - Software ,"['Salesforce Technical LeadWork you’ll do· Design, develop, test, document, and deploy high quality business solutions on the Force.com platform in the Salesforce space· Analyze, estimate and recommend solutions with in', 'depth understanding of customer landscapes· Communicate effectively and address technical risks and challenges· Develop end to end Salesforce solutions using Force.com APEX Class, Triggers, Visualforce pages, components etc.· Play a technical role in evaluating new CRM technologies/add', 'ons and develops plans for their implementation into Salesforce org.· Provide technical support for existing custom APEX code being used on the Force.com platform· Integrate applications with salesforce leveraging SOAP/REST based solutions· Train other development resources on Salesforce development practices· Maintain alignment with Salesforce development best practices· Build future integration points between Salesforce and Custom Applications· Job Location – HYD/MUM/BLR· Work Timings', '9:00 AM to 6:00 PM or 11:00 AM to 8:00 PMQualifications and Experience\xa0Required:· Professional Qualification', ' B.E/B.Tech/MCA/MSC/MS· Understand functional requirements and be able to develop technical· 2 years of Salesforce.com experience· Designs using standard patterns. Should also be able to communicate this effectively to the team.· Should have very good technical and problem solving skills· Analyse and identify gaps in functional/business requirements and should be able to effectively communicate this to both Business and Functional analysts· Should be able to assess the impact on technical designs caused by changes in functional requirements· Should be able to perform independent code reviews and execute unit tests on modules developedPreferred:· Experience in Salesforce.com Development environments (S', 'Controls, AJAX Toolkit, Apex API etc.)· Knowledgeable in Apex, Visual force· Experience with integration and configuration· Salesforce.com certification MSQualification: B.E/Btech/MCA/MBA']"
Immideat openings in MNC,"[' Fresher', ' Customer Support', ' Customer Service', ' Customer Support Executive', ' Customer Care Executive', ' Customer Care', ' BPO Executive', ' international bpo', ' sales', ' Telesales', ' Call center', ' International call center', ' Domestic BPO', ' Inbound', ' KPO', ' BPO']",0 - 5 years,Quess Corp Limited,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-immideat-openings-in-mnc-quess-corp-limited-bengaluru-bangalore-0-5-years-23273613.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=, • Customer Service Executive (Voice) • Customer Service Executive (Non-voice) • Technical Support Executive ( voice) • Fresher Education, • ITES/BPO •  Telecom FunctionCustomer Service/ Call C,"[""Hi,My name is Sharath, Associate HR  at IKYA Human Capitals. We're excited about our upcoming recruiting drives and we'd like to invite you to apply for any of our Customer Service positions and avail this opportunity to make your career in reputed companyWalk"", 'in, BPO hiring Fresher & Experience for International  Voice Process.\xa0Please find the details and attend the interviews.WALK IN : 10.30 AM ', ' 5 PM  MINIMUM ELIGIBILITY:Minimum eligibility criteria to apply to this position:o Age:o 19 to 40 years of ageo Education / Qualifications:o 10tho 12tho Graduateo Post Graduate (Except LLB / Chartered Accountant / MBBS / ICWA)o Travel boundary limits :o Candidate should be residing within the local transport limitso Cabs providedKEY RESPONSIBILITIES:o Answers inbound&outbound customer calls with a friendly and positive manner and provides outstanding service to the customer throughout the duration of the call.KNOWLEDGE AND SKILLS:o Excellent communication skillso Polite and customer service orientedo Exhibits patience and empathy to resolve customer querieso Typing Skills: 15 wpm with 85 % accuracySALARY:Best in the IndustryRegular performance incentivesPROCESS:Telecom ServiceVoiceSHIFTS:UK, Australian Shift,Day ShiftMention SHARATH in the reference.\xa0LOCATION:IKYA HUMAN CAPITALS , Bangalore LANDMARK: Forum KoramanglaCONTACT\xa0 7406015456 Please feel free to invite your friends, family or colleagues who you feel may be a good fit for  it.I look forward to meeting you at the recruitment drive! Please bring 1 copy of your resume with you when you come in for the interviews.Desired Candidate Profile    Eligibility For Bangalore Location', ' We are looking for applicants with excellent communication skill and willing to join immediately Note: We hire UG,Any Graduate, B.E/MBA/MCA freshers.', "" ANY This is only for Customer Service profile. Kindly don't apply for any other profile like HR or IT. Walkin from 10.30 am to 4.30 pm Designation: Customer Service Executive (Voice)    Eligibility: 10, 12, Diploma & Graduate Freshers & experienced    B.E/B.Tech ANYFor more Details Call 7406015456 Whatsapp me @ 7406015456""]"
